"","country","power_index","active_personnel","aircraft_carriers","armored_vehicles","attack_helicopters","available_manpower","coastline_coverage","corvettes","dedicated_attack","defense_budget","destroyers","external_debt","fighters_interceptors","fit_for_service","foreign_exchange_gold","frigates","helicopter_carriers","helicopters","labor_force","merchant_marine_fleet","mine_warfare","navy_ships","oil_consumption","oil_production","oil_proven_reserves","paramilitary","patrol_vessels","ports___trade_terminals","purchasing_power_parity","railway_coverage","reaching_mil_age_annually","reserve_personnel","roadway_coverage","rocket_projectors","self_propelled_artillery","shared_borders","special_mission","square_land_area","submarines","tanker_fleet","tanks","total_aircraft_strength","total_population","towed_artillery","trainers","transports","waterways__usable_"
"106","Serbia",0.9923,25000,0,1133,4,3417402,0,0,17,1059200000,0,3.0927e+10,117,2699050,1.191e+10,0,0,51,3000000,0,4,16,74000,17000,77500000,5000,6,1,1.258e+11,3809,83691,50000,44248,406,93,2322,0,77474,0,0,323,117,6974289,404,38,1,587
"107","Sierra Leone",7.5206,9000,0,20,2,1497601,402,0,0,19325000,0,1.615e+09,4,898561,4.78e+08,0,0,4,132000,591,0,10,6500,0,0,0,7,3,1.315e+10,0,34036,0,11700,0,0,1093,0,71740,0,0,0,4,6807277,0,0,0,800
"108","Singapore",0.6253,60000,0,3517,18,3812990,193,6,0,1.156e+10,0,1.557646e+12,244,2557637,2.799e+11,6,0,79,3778000,3321,4,40,1322000,0,0,10000,15,1,5.3104e+11,0,64528,200000,3500,24,48,0,9,697,5,11,170,244,5866139,77,36,9,10
"109","Slovakia",0.9617,13000,0,454,0,2772394,0,0,0,2.092e+09,0,1.15853e+11,50,2299456,3.622e+09,0,0,24,2511000,0,0,0,85880,200,9e+06,0,0,2,1.6557e+11,3580,59797,0,56926,25,16,1587,1,49035,0,0,20,50,5436066,9,8,7,172
"110","Slovenia",1.9486,7000,0,380,0,1009011,47,0,0,581680000,0,4.8656e+10,37,828230,889900000,0,0,12,885000,9,0,2,52140,5,0,5000,2,1,7.675e+10,1229,22913,2000,38985,0,8,1211,0,20273,0,0,44,37,2102106,18,22,3,0
"111","Somalia",11.8854,17500,0,65,0,2781767,3025,0,0,63934000,0,5.3e+09,0,1669060,30450000,0,0,0,4154000,4,0,3,5600,0,0,0,11,2,1.319e+10,0,120946,0,15000,0,0,2385,0,637657,0,0,0,0,12094640,0,0,0,0
"112","South Africa",0.4276,72000,0,2565,12,26210172,2798,0,0,2910671379,0,1.79871e+11,225,14130701,5.072e+10,4,0,91,14687000,105,2,47,621000,1600,1.5e+07,180000,31,6,6.8004e+11,20986,968637,15000,750000,50,43,5244,7,1219090,3,0,195,225,56978635,82,88,22,0
"113","South Korea",0.1261,555000,0,13990,112,25857581,2413,11,90,4.632e+10,12,4.57745e+11,1595,21203216,3.892e+11,18,2,739,26839000,1904,13,234,2584000,0,0,75000,111,11,2.1878e+12,3979,413721,500000,100428,574,3040,237,30,99720,22,4,2624,1595,51715162,3854,289,41,1600
"114","South Sudan",2.5072,175000,0,150,6,5492037,0,0,0,2.76e+08,0,2.25e+09,18,3514904,7.3e+07,0,0,16,750000,0,0,0,8000,150200,3.75e+09,0,0,0,2e+10,248,285586,0,90200,7,12,6018,0,644329,0,0,55,18,10984074,0,0,2,0
"115","Spain",0.2901,120000,1,5033,23,21739869,4964,0,12,1.175e+10,0,2.338853e+12,503,17628198,6.941e+10,11,0,119,19057000,478,6,139,1296000,1700,1.5e+08,80000,22,12,1.71486e+12,15333,330824,15000,683175,0,96,1953,15,505370,2,0,327,503,47260584,140,168,49,1000
"116","Sri Lanka",1.4729,250000,2022,600,9,11061179,1340,0,0,1.86e+09,0,5.5332e+10,86,8964164,7.959e+09,5,0,56,8000000,90,0,275,116000,0,0,11000,59,1,2.748e+11,1562,322618,5500,114093,22,0,0,2,65610,0,0,182,86,23044123,164,6,17,160
"117","Sudan",1.3382,100000,0,207,43,24778111,853,0,38,287210000,0,5.605e+10,192,15848641,1.98e+08,0,0,72,11920000,15,0,18,112000,95000,5e+09,55000,10,1,1.764e+11,7251,1215530,50000,31000,30,10,6819,0,1861484,0,0,360,192,46751152,389,12,25,1723
"118","Suriname",7.4234,1800,0,100,0,135245,386,0,0,41888000,0,1.7e+09,3,79917,424400000,0,0,3,144000,10,0,18,13000,17000,84200000,0,16,2,9.46e+09,0,3074,0,4304,0,0,1907,0,163820,0,0,0,3,614749,0,0,0,1200
"119","Sweden",0.4231,16000,0,3371,0,4104707,3218,7,0,8.6e+09,0,9.11317e+11,204,3447954,6.222e+10,0,0,53,5029000,370,9,316,323100,0,0,22000,161,11,5.2475e+11,14127,102618,0,573134,0,48,2211,4,450295,5,1,121,204,10261767,0,69,6,2052
"120","Switzerland",0.5015,24000,0,1339,0,3719606,0,0,0,5.984e+09,0,1.909446e+12,158,3017953,8.112e+11,0,0,42,5067000,20,0,0,223900,0,0,0,0,1,5.9017e+11,5690,92990,120000,71557,0,133,1770,1,41277,0,0,134,158,8453650,0,46,17,1299
"121","Syria",0.6953,100000,0,5372,27,13045962,193,0,18,2020500000,0,4.989e+09,452,11313295,407300000,0,0,154,3767000,28,7,43,134000,25000,2.5e+09,50000,33,3,4.7e+10,2052,570761,0,69873,629,552,2363,0,185180,0,0,3540,452,20384316,2210,67,5,900
"122","Taiwan",0.3215,170000,0,3472,91,12257467,1566,2,0,1.68e+10,4,1.89684e+11,741,1060742,4.567e+11,22,0,208,11498000,429,14,117,962400,200,2380000,11500,43,6,1.145277e+12,1613,306437,1500000,43206,115,257,0,19,35980,4,0,1110,741,23572052,1410,207,19,3720
"123","Tajikistan",2.7163,9500,0,100,6,4135802,0,0,0,90134000,0,6.47e+09,25,3263687,1.292e+09,0,0,20,2295000,0,0,0,24000,180,1.2e+07,5500,0,0,3.488e+10,680,152845,0,30000,62,0,4130,0,143100,0,0,47,25,8990874,10,4,1,200
"124","Tanzania",2.8437,26000,0,89,0,11176697,1424,0,0,748920000,0,2.2054e+10,37,6147183,5.301e+09,0,0,9,24890000,314,0,19,72000,0,0,1000,10,2,1.5279e+11,4567,558835,40000,87581,0,0,4161,0,947300,0,0,42,37,62092761,0,8,6,0
"125","Thailand",0.4581,350000,0,2836,7,36129870,3219,7,18,2933064054,0,1.6789e+11,469,27792208,2.026e+11,7,1,177,37546000,839,5,292,1326000,230000,349400000,6000,49,5,1.2e+12,4127,1111688,100000,180053,5,44,5673,20,513120,0,0,637,469,69480520,116,130,50,4000
"126","Tunisia",1.3664,36000,0,954,0,5905668,1148,0,0,1177200000,0,3.5911e+10,151,5078874,5.594e+09,0,0,102,4054000,71,0,40,102000,40000,4.25e+08,10000,36,5,1.15e+11,2173,200793,0,20000,0,0,1495,0,163610,0,0,145,151,11811335,86,29,9,0
"127","Turkey",0.1961,425000,0,13270,107,42148498,7200,10,0,9.69e+09,0,4.38677e+11,1057,35384942,1.077e+11,16,0,474,25677000,1217,11,156,989900,55000,341600000,150000,35,10,2.4e+12,12710,1402201,200000,67333,407,956,2816,20,783562,12,7,3022,1057,82482383,1189,270,81,1200
"128","Turkmenistan",1.6728,30000,0,2050,10,2689506,1768,0,27,407070000,0,539400000,82,2181737,2.491e+10,0,0,26,2305000,73,0,30,160000,245000,6e+08,5000,25,1,9e+10,5113,106018,0,58592,160,73,4158,0,488100,0,0,680,82,5579889,457,0,5,1300
"129","Uganda",2.2436,47000,0,1056,5,15202129,0,0,0,934250000,0,1.385e+10,49,8987141,3.654e+09,0,0,25,15840000,0,0,8,32000,0,2.5e+09,1500,0,3,9.5e+10,1244,894243,10000,20544,26,6,2729,0,241038,0,0,237,49,44712143,35,12,2,0
"130","Ukraine",0.3266,200000,0,12303,34,22310276,2782,1,29,1.187e+10,0,1.1741e+11,318,15617193,1.881e+10,1,0,112,17990000,409,1,38,233000,32000,3.95e+08,50000,13,6,5.15e+11,21733,481202,250000,169694,490,1067,5618,5,603550,0,0,2596,318,43745640,2040,71,32,2150
"131","United Arab Emirates",0.5859,65000,0,9255,30,5716835,1318,9,20,2.5266e+10,0,2.376e+11,554,4859310,9.537e+10,0,0,223,5344000,623,2,79,896000,3215000,9.78e+10,12000,38,8,6.6e+11,0,78853,0,4080,149,183,1066,23,83600,0,3,354,554,9856612,76,146,39,0
"132","United Kingdom",0.1382,194000,2,5015,24,30857260,12429,0,23,6.8e+10,6,8.72159e+12,693,24685808,1.508e+11,12,0,235,35412000,1249,11,75,1584000,1000000,2.069e+09,0,26,16,2.79798e+12,16837,737891,37000,394428,44,89,443,20,243610,10,9,227,693,67081000,126,247,40,3200
"133","United States",0.0453,1390000,11,45193,910,147399295,19924,22,783,7.7e+11,92,2.0275951e+13,13247,122274415,1.233e+11,0,9,5463,146128000,3627,8,484,19960000,11000000,3.5e+10,0,10,35,1.984672e+13,293564,4354979,442000,6586610,1366,1498,12048,774,9826675,68,627,6612,13247,334998398,1339,2661,982,41009
"134","Uruguay",2.4526,22000,0,474,0,1563190,660,0,7,1072600000,0,4.3705e+10,50,1311720,1.596e+10,1,0,11,1748000,61,2,18,53000,0,0,1500,3,1,7.506e+10,1673,54372,0,77732,0,6,1591,5,176215,0,0,79,50,3398239,64,17,8,1600
"135","Uzbekistan",0.8272,55000,0,1215,33,16038254,420,0,20,692520000,0,1.69e+10,200,13478302,1.6e+10,0,0,96,13273000,0,0,0,60000,41000,5.94e+08,10000,0,1,2.3942e+11,4642,616856,0,86496,98,137,6893,0,447400,0,0,420,200,30842796,60,7,18,1100
"136","Venezuela",0.6664,137500,0,2534,10,14534577,2800,0,0,1929600000,0,1.003e+11,256,11918353,9.661e+09,2,0,78,14210000,281,0,46,659000,1500000,3.023e+11,1600000,31,5,2.65e+11,447,581383,30000,96189,54,60,5267,3,912050,2,1,300,256,29069153,104,80,50,7100
"137","Vietnam",0.4521,470000,0,4420,0,53450591,3444,14,0,6237600000,0,9.658e+10,218,43788369,4.95e+10,9,0,99,54659000,1926,8,109,438000,245000,4.4e+09,40000,54,8,8e+11,2600,1747423,0,195468,760,50,4616,4,331210,6,0,2044,218,102789598,599,30,9,17702
"138","Yemen",1.4754,45000,0,300,14,11551712,1906,2,0,1010070000,0,6.805e+09,177,8542187,245400000,0,0,61,7425000,34,3,35,104000,61000,3e+09,375000,15,3,6.5e+10,0,577586,0,71300,50,10,1601,2,527968,0,0,200,177,30399243,43,30,8,0
"139","Zambia",2.1966,16500,0,226,0,6677236,0,0,0,251160000,0,1.166e+10,97,3796485,2.082e+09,0,0,27,6898000,2,0,0,23000,0,0,1000,0,1,6.012e+10,3126,343401,0,67671,50,0,6043,0,752618,0,0,75,97,19077816,42,51,11,2250
"140","Zimbabwe",2.2498,30000,0,318,6,5635395,0,0,0,117390000,0,9.357e+09,90,3218107,431800000,0,0,28,7907000,0,0,0,27000,0,0,10000,0,2,4.079e+10,3427,311430,0,97267,23,0,3229,0,390757,0,0,50,90,14829988,60,38,14,0
