"","country","power_index","active_personnel","aircraft_carriers","armored_vehicles","attack_helicopters","available_manpower","coastline_coverage","corvettes","dedicated_attack","defense_budget","destroyers","external_debt","fighters_interceptors","fit_for_service","foreign_exchange_gold","frigates","helicopter_carriers","helicopters","labor_force","merchant_marine_fleet","mine_warfare","navy_ships","oil_consumption","oil_production","oil_proven_reserves","paramilitary","patrol_vessels","ports___trade_terminals","purchasing_power_parity","railway_coverage","reaching_mil_age_annually","reserve_personnel","roadway_coverage","rocket_projectors","self_propelled_artillery","shared_borders","special_mission","square_land_area","submarines","tanker_fleet","tanks","total_aircraft_strength","total_population","towed_artillery","trainers","transports","waterways__usable_"
"43","Gabon",4.7871,6500,0,150,0,868267,885,0,0,280620000,0,6.49e+09,23,495826,981600000,0,0,15,557800,62,0,10,24000,195000,2e+09,2000,3,5,3.2e+10,649,43413,0,14300,0,0,3261,0,267667,0,0,0,23,2284912,10,0,2,1600
"44","Georgia",2.0014,25000,0,554,9,2762857,310,0,10,286020000,0,1.8149e+10,66,2239888,3.039e+09,0,0,38,686000,25,0,44,27000,400,3.5e+07,5400,31,2,5.233e+10,1363,74005,0,20295,67,74,1814,0,69700,0,0,143,66,4933674,186,12,2,4349
"45","Germany",0.2322,184000,0,9217,55,36755601,2389,5,75,5.03e+10,0,5.671463e+12,617,29404481,2.001e+11,12,0,287,44585000,599,12,80,2460000,40000,129600000,0,0,13,4.2388e+12,33590,799035,15000,625000,38,121,3694,41,357022,6,0,266,617,79903481,0,37,43,7467
"46","Ghana",2.3098,14000,0,343,0,13920342,539,0,0,289400000,0,2.0467e+10,20,9323392,7.555e+09,0,0,11,12490000,51,0,20,90000,175000,6.6e+08,0,23,2,1.6484e+11,947,582712,0,109515,6,0,2420,2,238533,0,0,0,20,32372889,30,5,2,1293
"47","Greece",0.4506,130000,0,6134,29,4967760,13676,0,0,6.6e+09,0,4.84888e+11,633,4027057,7.807e+09,13,0,270,4000000,1236,8,120,304100,4100,1e+07,35000,35,7,2.95e+11,2548,105697,220500,117000,147,590,1110,14,131957,11,0,1243,633,10569703,669,144,17,6
"48","Guatemala",2.2421,21500,0,140,0,7143357,400,0,4,3.88e+08,0,2.292e+10,33,5993450,1.177e+10,0,0,17,6664000,9,0,25,89000,9500,83070000,30000,20,2,1.42e+11,800,365879,65000,17621,0,0,1667,0,108889,0,0,0,33,17422821,88,4,8,990
"49","Honduras",2.6558,16000,0,92,0,4112362,832,0,9,405110000,0,9.137e+09,44,3084271,4.708e+09,0,0,10,3735000,505,0,55,59000,0,0,23000,60,4,5e+10,699,186926,60000,14742,0,0,1575,1,112090,0,0,19,44,9346277,86,10,11,465
"50","Hungary",0.8633,23000,0,510,8,4572318,0,0,0,3263999300,0,1.23256e+11,55,3745410,2.8e+10,0,0,33,4414000,1,0,0,167700,16000,2.4e+07,12000,0,5,3.0032e+11,8049,116740,20000,203601,0,0,2106,0,103000,0,0,176,55,9728337,12,8,2,1622
"51","India",0.0979,1450000,1,12000,37,629485342,7000,22,130,4.96e+10,10,5.55388e+11,2182,496891621,4.098e+11,13,0,805,521900000,1801,0,295,4521000,710000,4.495e+09,2527000,128,13,8.44336e+12,68525,22768619,1155000,4699024,1338,100,13888,71,3287263,17,6,4614,2182,1339330514,3311,353,253,14500
"52","Indonesia",0.2251,400000,0,1444,15,134809844,54716,24,23,9.3e+09,0,3.93252e+11,445,111974707,1.302e+11,7,0,172,129366000,10427,11,296,1601000,775000,3.31e+09,280000,181,16,3.13047e+12,8159,4677076,400000,496607,63,153,2958,17,1904569,4,1,314,445,275122131,413,126,66,21579
"53","Iran",0.2104,575000,0,7600,12,48097790,2440,3,23,5e+09,0,7.995e+09,543,40367788,1.206e+11,7,0,126,30500000,893,1,142,1804000,4250000,1.572e+11,90000,66,4,1.04431e+12,8484,1374223,350000,223485,2485,1030,5894,9,1648195,19,7,2831,543,85888910,2108,96,85,850
"54","Iraq",0.5597,200000,0,5050,40,16653061,58,2,33,6855200000,0,7.302e+10,361,13481049,4.888e+10,0,0,164,8900000,68,0,63,826000,4615000,1.488e+11,130000,26,3,3.7227e+11,2272,674052,0,59623,232,171,3809,21,438317,0,0,826,361,39650145,1176,112,16,5279
"55","Ireland",2.3147,8700,0,122,0,2403447,1448,0,0,1.1e+09,0,2.829303e+12,23,1995906,4.412e+09,0,0,8,2289000,96,0,9,153700,0,0,0,5,7,4.4797e+11,4301,57474,4000,99830,0,0,443,3,70273,0,0,0,23,5224884,0,8,4,956
"56","Israel",0.2621,173000,0,8044,48,3690559,273,7,27,1.78e+10,0,1.325e+11,597,3066679,1.13e+11,0,0,127,3893000,41,0,67,242200,400,12730000,8000,45,5,3.55e+11,1384,123019,465000,19555,48,650,1068,23,20770,5,11,1900,597,8787045,300,153,15,0
"57","Italy",0.1801,170000,2,6908,59,28075664,7600,0,95,29198401050,4,2.463208e+12,862,22710092,1.512e+11,13,0,396,22920000,1296,10,184,1236000,90000,487800000,107000,21,14,2.32214e+12,20182,561513,20000,487700,21,54,1836,27,301340,8,10,200,862,62390364,108,188,39,2400
"58","Ivory Coast",2.7392,25000,0,85,1,11516267,515,0,0,6.51e+08,0,1.307e+10,5,7359175,6.257e+09,0,0,1,8747000,25,0,10,51000,55000,1e+08,7000,6,3,1.35e+11,660,533681,0,81996,6,0,3458,0,322463,0,0,10,5,28088455,4,0,4,980
"59","Japan",0.1195,240000,0,5500,119,53615536,29751,6,23,47482740000,36,4.254271e+12,1449,43391178,1.264e+12,4,4,554,66540000,5201,22,155,3894000,3200,44120000,14000,6,44,5.22585e+12,27311,1122186,55000,1218772,99,214,0,164,377915,21,7,1004,1449,124687293,480,425,59,1770
"60","Jordan",1.3989,90000,0,3693,44,3381966,26,0,4,2053900000,0,3.2088e+10,255,2912854,1.556e+10,0,0,133,731000,35,0,27,139000,25,1e+06,15000,27,1,1.0016e+11,509,141824,65000,7203,88,461,1744,5,89342,0,0,1401,255,10909567,84,56,13,540
"61","Kazakhstan",1.0615,45000,0,1215,25,8660607,26,0,39,3.9e+09,0,1.59351e+11,237,6582061,3.075e+10,0,0,75,8685000,119,2,15,274000,1855000,3e+10,32000,15,5,4.7518e+11,1614,269411,0,95409,407,246,13364,0,2724900,0,0,310,237,19245793,450,25,17,0
"62","Kenya",1.5252,24000,0,959,2,20233469,536,0,0,1186080000,0,2.9289e+10,151,13179097,7.354e+09,0,0,87,19600000,26,0,23,109000,0,0,5000,7,2,2.2594e+11,3819,874961,0,177800,5,30,3457,2,580367,0,0,109,151,54685051,50,23,22,0
"63","Kosovo",13.9136,3500,0,152,0,897960,0,0,0,112479000,0,2.388e+09,0,727657,6.95e+08,0,0,0,500000,0,0,0,14000,0,0,0,0,0,2e+10,333,17417,3000,2012,0,0,714,0,10887,0,0,0,0,1935259,0,0,0,0
"64","Kuwait",1.2988,17000,0,909,16,1667636,499,0,0,8.172e+09,0,4.724e+10,99,1400814,3.37e+10,0,0,54,2695000,165,0,123,446000,2805000,1.015e+11,7000,106,5,2.1e+11,0,36385,24000,5749,27,74,475,0,17818,0,3,367,99,3032065,0,13,2,0
"65","Kyrgyzstan",2.2011,12000,0,685,2,3069582,0,0,0,116040000,0,8.372e+09,6,2425572,2.177e+09,0,0,6,2841000,0,0,0,37000,1000,4e+07,10000,0,2,3e+10,424,114357,0,34000,21,30,4573,0,199951,0,0,215,6,6018789,276,0,0,600
"66","Laos",3.6906,25000,0,200,0,3332717,0,0,0,38280000,0,1.49e+10,32,2401071,1.27e+09,0,0,27,3582000,1,0,39,18000,0,0,50000,35,0,5.5e+10,0,151487,0,39568,64,34,5274,0,236800,0,0,130,32,7574356,87,4,1,4600
"67","Latvia",2.2758,6500,0,297,0,838209,498,0,0,853758013,0,4.0164e+10,4,670567,4.614e+09,0,0,4,885000,70,6,18,44600,0,0,8200,11,2,5.5755e+10,1860,16764,15000,70244,0,63,1370,0,64589,0,0,0,4,1862687,0,0,0,300
"68","Lebanon",2.8681,80000,0,1959,0,2051935,225,0,9,1001400000,0,3.3077e+10,76,1741514,5.542e+10,0,0,58,2166000,48,0,86,154000,0,0,20000,22,2,8e+10,401,68398,0,21705,30,84,484,0,10400,0,0,361,76,5261372,374,9,0,170
